List of all registered Items:
"REGISTRY_NAME","MOD_ID"
"<antiqueatlas:antique_atlas>","antiqueatlas"
"<antiqueatlas:empty_antique_atlas>","antiqueatlas"
"<base:wrench>","base"
"<baubles:ring>","baubles"
"<bearwithme:hide_bear>","bearwithme"
"<bearwithme:hide_bear:1>","bearwithme"
"<bearwithme:hide_bear:2>","bearwithme"
"<bearwithme:hide_bear:3>","bearwithme"
"<betterbuilderswands:wanddiamond>","betterbuilderswands"
"<betterbuilderswands:wandiron>","betterbuilderswands"
"<betterbuilderswands:wandstone>","betterbuilderswands"
"<betterbuilderswands:wandunbreakable>","betterbuilderswands"
"<blockcraftery:editable_block>","blockcraftery"
"<blockcraftery:editable_inner_corner>","blockcraftery"
"<blockcraftery:editable_outer_corner>","blockcraftery"
"<blockcraftery:editable_slab>","blockcraftery"
"<blockcraftery:editable_slant>","blockcraftery"
"<blockcraftery:editable_stairs>","blockcraftery"
"<blockcraftery:editable_wall>","blockcraftery"
"<botania:alchemycatalyst>","botania"
"<botania:alfheimportal>","botania"
"<botania:altar>","botania"
"<botania:altar:1>","botania"
"<botania:altar:2>","botania"
"<botania:altar:3>","botania"
"<botania:altar:4>","botania"
"<botania:altar:5>","botania"
"<botania:altar:6>","botania"
"<botania:altar:7>","botania"
"<botania:altar:8>","botania"
"<botania:altgrass>","botania"
"<botania:altgrass:1>","botania"
"<botania:altgrass:2>","botania"
"<botania:altgrass:3>","botania"
"<botania:altgrass:4>","botania"
"<botania:altgrass:5>","botania"
"<botania:ancientwill>","botania"
"<botania:ancientwill:1>","botania"
"<botania:ancientwill:2>","botania"
"<botania:ancientwill:3>","botania"
"<botania:ancientwill:4>","botania"
"<botania:ancientwill:5>","botania"
"<botania:animatedtorch>","botania"
"<botania:astrolabe>","botania"
"<botania:auraring>","botania"
"<botania:auraringgreater>","botania"
"<botania:autocraftinghalo>","botania"
"<botania:avatar>","botania"
"<botania:balancecloak>","botania"
"<botania:baublebox>","botania"
"<botania:bellows>","botania"
"<botania:bifrost>","botania"
"<botania:bifrostperm>","botania"
"<botania:bifrostpermpane>","botania"
"<botania:biomestonea>","botania"
"<botania:biomestonea:1>","botania"
"<botania:biomestonea:2>","botania"
"<botania:biomestonea:3>","botania"
"<botania:biomestonea:4>","botania"
"<botania:biomestonea:5>","botania"
"<botania:biomestonea:6>","botania"
"<botania:biomestonea:7>","botania"
"<botania:biomestonea:8>","botania"
"<botania:biomestonea:9>","botania"
"<botania:biomestonea:10>","botania"
"<botania:biomestonea:11>","botania"
"<botania:biomestonea:12>","botania"
"<botania:biomestonea:13>","botania"
"<botania:biomestonea:14>","botania"
"<botania:biomestonea:15>","botania"
"<botania:biomestonea0slab>","botania"
"<botania:biomestonea0stairs>","botania"
"<botania:biomestonea0wall>","botania"
"<botania:biomestonea0wall:1>","botania"
"<botania:biomestonea0wall:2>","botania"
"<botania:biomestonea0wall:3>","botania"
"<botania:biomestonea0wall:4>","botania"
"<botania:biomestonea0wall:5>","botania"
"<botania:biomestonea0wall:6>","botania"
"<botania:biomestonea0wall:7>","botania"
"<botania:biomestonea10slab>","botania"
"<botania:biomestonea10stairs>","botania"
"<botania:biomestonea11slab>","botania"
"<botania:biomestonea11stairs>","botania"
"<botania:biomestonea12slab>","botania"
"<botania:biomestonea12stairs>","botania"
"<botania:biomestonea13slab>","botania"
"<botania:biomestonea13stairs>","botania"
"<botania:biomestonea14slab>","botania"
"<botania:biomestonea14stairs>","botania"
"<botania:biomestonea15slab>","botania"
"<botania:biomestonea15stairs>","botania"
"<botania:biomestonea1slab>","botania"
"<botania:biomestonea1stairs>","botania"
"<botania:biomestonea2slab>","botania"
"<botania:biomestonea2stairs>","botania"
"<botania:biomestonea3slab>","botania"
"<botania:biomestonea3stairs>","botania"
"<botania:biomestonea4slab>","botania"
"<botania:biomestonea4stairs>","botania"
"<botania:biomestonea5slab>","botania"
"<botania:biomestonea5stairs>","botania"
"<botania:biomestonea6slab>","botania"
"<botania:biomestonea6stairs>","botania"
"<botania:biomestonea7slab>","botania"
"<botania:biomestonea7stairs>","botania"
"<botania:biomestonea8slab>","botania"
"<botania:biomestonea8stairs>","botania"
"<botania:biomestonea9slab>","botania"
"<botania:biomestonea9stairs>","botania"
"<botania:biomestoneb>","botania"
"<botania:biomestoneb:1>","botania"
"<botania:biomestoneb:2>","botania"
"<botania:biomestoneb:3>","botania"
"<botania:biomestoneb:4>","botania"
"<botania:biomestoneb:5>","botania"
"<botania:biomestoneb:6>","botania"
"<botania:biomestoneb:7>","botania"
"<botania:biomestoneb:8>","botania"
"<botania:biomestoneb:9>","botania"
"<botania:biomestoneb:10>","botania"
"<botania:biomestoneb:11>","botania"
"<botania:biomestoneb:12>","botania"
"<botania:biomestoneb:13>","botania"
"<botania:biomestoneb:14>","botania"
"<botania:biomestoneb:15>","botania"
"<botania:biomestoneb0slab>","botania"
"<botania:biomestoneb0stairs>","botania"
"<botania:biomestoneb1slab>","botania"
"<botania:biomestoneb1stairs>","botania"
"<botania:biomestoneb2slab>","botania"
"<botania:biomestoneb2stairs>","botania"
"<botania:biomestoneb3slab>","botania"
"<botania:biomestoneb3stairs>","botania"
